type,description,body,scale,source,transpired,published_date
1,Two year old U.S.-born citizen deported,"A toddler born in Florida has been deported to Brazil with her undocumented parents, despite lacking legal status there and holding a tourist visa set to expire soon, The Washington Post reported.
Department of Homeland Security (DHS) Assistant Secretary Tricia McLaughlin told Newsweek on Friday: ""The media and Democrat politicians are force-feeding the public false information that U.S. citizen children are being deported. This is false and irresponsible.",7,https://www.washingtonpost.com/world/2025/05/29/us-citizens-deported-immigration-trump-brazil/,2025-04-30,
1,Kilmar Abrego deported to CECOT due to “administrative error”,"Judges all the way up to the US Supreme Court have ruled that Mr Abrego Garcia was deported in error and that the US government should help ""facilitate"" his return to his home in Maryland.
But the White House has accused Mr Abrego Garcia of being a member of the transnational Salvadorian gang MS-13, a designated foreign terrorist organisation, saying he ""will never live"" in the US again.
President Donald Trump has acknowledged he has the ability to bring Mr Abrego Garcia back to the US, but that he will not do so.",9,https://www.bbc.com/news/articles/c1k4072e3nno,2025-04-30,
1,DOJ sends memo to ICE directing them to enter homes without warrant,"The U.S. Department of Justice dubiously invoked a centuries-old law in directing immigration agents to carry out home invasion searches without warrants, an internal memo revealed. USA Today—which obtained a copy of the March 14 memo issued by the office of U.S. Attorney General Pam Bondi—reported Friday that the Trump administration ordered Immigration and Customs Enforcement (ICE) to pursue suspected members of the Venezuelan gang Tren de Aragua into homes, sometimes without warrants, under the Alien Enemies Act (AEA).",9,https://www.commondreams.org/news/ice-warrantless-search,2025-04-25,
1,Trump tells reporter he is looking into ways he can run for a third term as president,"President Donald Trump did not rule out the possibility of seeking a third term in the White House, which is prohibited by the Constitution under the 22nd Amendment, saying in an exclusive interview with NBC News that there were methods for doing so and clarifying that he was “not joking.”
“A lot of people want me to do it,” Trump said in a Sunday-morning phone call with NBC News, referring to his allies. “But, I mean, I basically tell them we have a long way to go, you know, it’s very early in the administration.”",10,https://www.nbcnews.com/politics/donald-trump/trump-third-term-white-house-methods-rcna198752,2025-03-30,
